LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,LT,LO,Latitude,Longitude
LB-99146,"WALLY'S CAFÉ, INC.",WALLY'S CAFÉ,,427 Massachusetts Avenue rear entrance from alley to basement rear emergency exit first floor  one room first floor; kitchen and stockroom in basement.  Capacity breakdown: 42 seating; 25 standing.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,67,"WALLY'S CAFÉ, INC.",NULL,,427,  Massachusetts AV,Roxbury,MA,02118,"(42.340647, -71.08232)",(42.340647, -71.08232),42.340647, -71.08232
LB-99549,"YAMATO, INC.",YAMATO JAPANESE CUISINE,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,In one room on first floor  kitchen in the rear; basement for storage.  Capacity breakdown: 89 seated  16 standing.,2013-11-07,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,99,"YAMATO, INC.",NULL,111,117,  Chiswick RD,Brighton,MA,02135,"(42.340679, -71.151644)",(42.340679, -71.151644),42.340679, -71.151644
LB-99194,"SOUTH END BERKELEY, LLC",GASLIGHT BRASSERIE duCOIN,1.) ALCOHOL AT TABLES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. PATIO CONDITIONS: 1.) 2:00 A.M. CLOSING HOUR 2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 3.) NO BAR.,IN ONE ROOM WITH KITCHEN AND STORAGE ON GROUND FLOOR; ENTRANCE FROM BUILDING LOBBY; ADDITIONAL EXIT TO HARRISON AVENUE  AND EMERGENCY EXIT TO WALTHAM STREET AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 62 PATRONS ON PRIVATE PROPERTY.  MANAGEMENT AGREEMENT APPROVED BETWEEN,2013-11-15,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,174,"SOUTH END BERKELEY, LLC",NULL,560,,  Harrison AV,Roxbury,MA,02118,"(42.34081, -71.06744)",(42.34081, -71.06744),42.34081, -71.06744
LB-99766,"BKW PARTNERS, INC.",CONOR LARKIN'S,26 Standing  97 Seated,IN ONE LARGE DINING ROOM  KITCHEN  AND TWO ROOMS  FOR STORAGE IN BASEMENT LEVEL.,2013-11-19,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,123,"BKW PARTNERS, INC.",NULL,329,,  Huntington AV,Boston,MA,02115,"(42.340923, -71.08819)",(42.340923, -71.08819),42.340923, -71.08819
LB-139452,"South End Partners, Inc.",NULL,NONE,On first floor with kitchen to rear. Bar area for approximately 16 patrons. Dining area for approximately 90 patrons. No separation between dining and bar area. Courtyard patio on private property with 40 patrons. Public sidewalk patio for 20 patrons. Both patios with an 11:00 p.m. Closing Hour.,2015-03-12,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 a.m.,0,"South End Partners, Inc.",(617)308-8607,569,575,  Columbus AV,Roxbury,MA,02118,"(42.34099, -71.08164)",(42.34099, -71.08164),42.34099, -71.08164
LB-99419,"EWalk SE1, LLC",THE ELEPHANT WALK,NONE,ON FIRST FLOOR  TWO (2) MAIN DINING ROOMS WITH BAR LOCATED IN DINING ROOM #2  KITCHEN AND PRIVATE LOUNGE IN REAR OF BUILDING;  STORAGE IN BASEMENT.  MAIN ENTRANCE AND EXIT LOCATED ON WASHINGTON STREET.  PREMISES CONSISTS OF 3200 TOTAL SQUARE FEET.,2013-11-20,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,80,"EWALK SE1, LLC",(617)536-2662,1415,,  Washington ST,Roxbury,MA,02118,"(42.341226, -71.07053)",(42.341226, -71.07053),42.341226, -71.07053
LB-99191,"HENRY'S DELICATESSEN, LLC",THE GALLOWS,1.) CLOSING HOUR 1:00 A.M.  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,KITCHEN AND ONE DINING ROOM ON THE FIRST FLOOR  BASEMENT FOR PREPARATION AND STORAGE.  ENTRANCE AT 1395-1397 WASHINGTON STREET  WITH A REAR EXIT TO PASSAGEWAY LEADING TO UNION PARK STREET.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,90,"HENRY'S DELICATESSEN, LLC",NULL,1395,1397,  Washington ST,Roxbury,MA,02118,"(42.34136, -71.07015)",(42.34136, -71.07015),42.34136, -71.07015
LB-99575,THAILAND INTERNATIONAL CORPORATION,HOUSE OF SIAM,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,IN ONE ROOM ON THE FIRST FLOOR LEVEL  ONE ROOM ON THE LOWER LEVEL  KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  CAPACITY BREAKDOWN: UPPER LEVEL - 36; LOWER LEVEL - 18.,2013-11-21,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,54,THAILAND INTERNATIONAL CORPORATION,NULL,542,,  Columbus AV,Roxbury,MA,02118,"(42.3414, -71.08034)",(42.3414, -71.08034),42.3414, -71.08034
LB-99306,"UNO RESTAURANTS, LLC",UNO CHICAGO GRILL,,In one enlarged room on the first floor and kitchen; basement for stock; also  outdoor cafe with a capacity of 24.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,140,"UNO RESTAURANTS, LLC",NULL,270,280,  Huntington AV,Boston,MA,02115,"(42.34151, -71.086)",(42.34151, -71.086),42.34151, -71.086
LB-99629,"MOOGY'S SANDWICH SHOP, INC.",MOOGY'S,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY.  CAPACITY: 65 SEATING  11 STANDING.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  STORAGE IN THE BASEMENT.,2013-11-25,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,76,"MOOGY'S SANDWICH SHOP, INC.",NULL,154,,  Chestnut Hill AV,Brighton,MA,02135,"(42.341552, -71.154278)",(42.341552, -71.154278),42.341552, -71.154278
LB-99667,"UC SOUTH END, LLC",THE UPPER CRUST,A.) ALCOHOL WITH FOOD ONLY B.) NO BAR PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) TO BE STAFFED AT ALL TIMES (MIX OF PUBLIC AND PRIVATE LAND).,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 20 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:30 A.M. - 11:00 P.M.,2013-11-21,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:30 PM,MIDNIGHT,41,"UC SOUTH END, LLC",NULL,683,,  Tremont ST,Roxbury,MA,02118,"(42.34156, -71.07662)",(42.34156, -71.07662),42.34156, -71.07662
LB-99432,"SMJ GROUP, LLC",UNION RESTAURANT,11:00 A.M. OPENING ON SUNDAYS,IN ONE ROOM ON STREET LEVEL  WITH KITCHEN  DINING ROOM AND THREE BATHROOMS; STORAGE IN THE BASEMENT.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,120,"SMJ GROUP, LLC",NULL,1357,,  Washington ST,Roxbury,MA,02118,"(42.34165, -71.06928)",(42.34165, -71.06928),42.34165, -71.06928
LB-99076,"GAINSBORO RESTAURANT, INC.",OUR HOUSE EAST,50% of tables to be used for all alcoholic beverages comsumption only in conjunction with meals.,52A GAINSBOROUGH STREET  BOSTON  MA  02115.  IN THREE ROOMS  EACH WITH A BAR SEATING 20  15 AND 13 RESPECTIVELY  WITH KITCHEN ON FIRST FLOOR;  CELLAR FOR STOCK.,2013-11-22,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,286,"GAINSBORO RESTAURANT, INC.",(617)536-4053,52,,  Gainsborough ST,Boston,MA,02115,"(42.34173, -71.08722)",(42.34173, -71.08722),42.34173, -71.08722
LB-99528,TRUSTEES OF BOSTON UNIVERSITY,BOSTON UNIVERSITY THEATR,,In three floors; one room (lobby) on each floor; storage on the first floor.,2013-11-19,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,1051,TRUSTEES OF BOSTON UNIVERSITY,(617)353-2990,264,,  Huntington AV,Boston,MA,02115,"(42.341835, -71.085591)",(42.341835, -71.085591),42.341835, -71.085591
LB-98790,NORTHEASTERN UNIVERSITY,NULL,,Exits in rear for stock and emergency  in seven rooms on first floor  seven rooms on second floor.,2013-11-26,2015-12-31,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,82,NORTHEASTERN UNIVERSITY,NULL,96,,  Fenway ,Boston,MA,02115,"(42.34185, -71.09126)",(42.34185, -71.09126),42.34185, -71.09126
LB-99780,"LLOB ASSOCIATES, LLC",FIVE HORSES TAVERN,NONE,APPROXIMATELY 2 295 SQUARE FEET. DINING ROOM  BAR  AND BATHROOMS ON FIRST FLOOR.  KITCHEN  PREP  AND STORAGE ON GARDEN LEVEL.  PRIVATE SEASONAL PATIO AREA OUTSIDE OF FIRST FLOOR WITH 24 SEATS  WITH A MIDNIGHT CLOSING.,2013-11-08,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,74,"LLOB ASSOCIATES, LLC",NULL,533,535,  Columbus AV,Roxbury,MA,02118,"(42.34186, -71.08059)",(42.34186, -71.08059),42.34186, -71.08059
LB-99822,MERENGUE CORP.,"VEJIGANTES, LLC",OPERATING HOURS OF OUTDOOR SEASONAL PATIO ARE 11:00 AM - 11:00 PM.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE ON THE FIRST FLOOR.  INCLUDES AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 14 PERSONS.,2013-11-27,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,50,MERENGUE CORP.,NULL,57,67,W Dedham St,Roxbury,MA,02118,"(42.341861, -71.07242)",(42.341861, -71.07242),42.341861, -71.07242
LB-99092,"JAE'S CAFÉ & GRILL, INC.",SHUN'S KITCHEN,1) ALCOHOL TO BE SERVED WITH MEALS ONLY. 2) REAR PATIO HOURS ARE11:00 A.M. TO 3:00 P.M.,ONE ROOM WITH KITCHEN AND OUTDOOR CAFE AND TO INCLUDE BASEMENT AREA WITH SUSHI BAR AND TABLES  WHICH WAS APPROVED BY THE CITY OF BOSTON INSPECTIONAL SERVICES DEPARTMENT.  CAPACITY BREAKDOWN: BASEMENT - 46  1ST FL - 36   STANDING - 20  OUTDOOR - 32.,2013-11-19,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,102,"JAE'S CAFÉ & GRILL, INC.",NULL,520,,  Columbus AV,Roxbury,MA,02118,"(42.34189, -71.07978)",(42.34189, -71.07978),42.34189, -71.07978
LB-99523,THOUSAND CHEF FOODS CORP.,SYMPHONY SUSHI,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,45 Gainsborough st; in one room on the first floor  kitchen in the rear; storage in the basement.,2013-11-18,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:30 PM,MIDNIGHT,60,THOUSAND CHEF FOODS CORP.,NULL,45,,  Gainsborough ST,Boston,MA,02115,"(42.341989, -71.087081)",(42.341989, -71.087081),42.341989, -71.087081
LB-99500,BUTTERY CORPORATION,SOUTH END BUTTERY,A.) ALCOHOL WITH FOOD ONLY  B.) PATIO CLOSING HOUR: 10:00 PM,ON 2 FLOORS; IN 2 ROOMS ON THE FIRST FLOOR FOR DINING; ON BASEMENT FLOOR; KITCHEN AND PREP AREA  STORAGE UTILITY ROOM AND OFFICE AND TO INCLUDE AN OUTDOOR PATIO FOR 12 PATRONS ON PRIVATE PROPERTY.  Capacity breakdown: 1st fl - 74  basement - 34.,2013-11-26,2015-12-31,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,11:30 PM,MIDNIGHT,108,BUTTERY CORPORATION,NULL,314,,  Shawmut AV,Roxbury,MA,02118,"(42.34209, -71.07029)",(42.34209, -71.07029),42.34209, -71.07029
LB-99488,"SOUTH END JOINT VENTURE III (SEJV III), GENERAL PARTNERSHIP",CINQUECENTO,300 PERSONS TOTAL: PATIO SEATING: 60 PERSONS PRIVATE DINING SEATING: 51 PERSONS BAR STOOLS: 19 PERSONS BAR TABLES AND CHAIRS: 22 PERSONS DINING TABLES AND CHAIRS: 126 PERSONS STANDING: 22 PERSONS,IN TWO ROOMS INCLUDING FUNCTION ROOM ON GROUND FLOOR WITH KITCHEN AND BATHROOMS; ONE ROOM ON MEZZANINE LEVEL FOR DINING AND BAR AREA; AND A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 2:00 A.M.( MANAGEMENT AGREEMENT APPROVED,2013-11-22,2015-12-31,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,2:00 AM,2:30 AM,300,South End Joint Venture III (SEJVIII) General Pat.,NULL,490,,  Harrison AV,Roxbury,MA,02118,"(42.342141, -71.065789)",(42.342141, -71.065789),42.342141, -71.065789
LB-99555,"SYMPHONY EXCHANGE, INC.",THE GINGER EXCHANGE,1.NO BAR.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN AND STORAGE IN THE REAR.,2013-11-29,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,90,"SYMPHONY EXCHANGE, INC.",NULL,250,,  Huntington AV,Boston,MA,02115,"(42.342201, -71.08503)",(42.342201, -71.08503),42.342201, -71.08503
LB-99577,"PHO AND I, INC.",PHO AND I,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,In one room on the first floor; kitchen in the rear  storage in the basement.,2013-11-18,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,87,"PHO AND I, INC.",NULL,267,,  Huntington AV,Boston,MA,02115,"(42.342206, -71.086199)",(42.342206, -71.086199),42.342206, -71.086199
LB-99567,THAITATION LLC,THAITATION,PATIO CONDITIONS: 1.) ALCOHOL TO BE SERVED WITH FOOD ONLY.  2.) PATIO TO BE STAFFED AT ALL TIMES.  3.) 11:00 P.M. CLOSING ON THE PATIO.,ONE ROOM USED FOR DINING AND KITCHEN ON FIRST FLOOR; STORAGE IN BASEMENT.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 8 PATRONS.,2013-11-25,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,44,THAITATION LLC,NULL,129,,  Jersey ST,Boston,MA,02215,"(42.342326, -71.096951)",(42.342326, -71.096951),42.342326, -71.096951
LB-99767,"ZAI, LLC",YAKITORI ZAI,1.) WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR  3.) 11:30 P.M. CLOSING  PATIO CONDITIONS:  A.) ALCOHOL SERVICE WITH FOOD ONLY ON PATIO.  B.)  PATIO HOURS: 11:00 AM - 10:00 P.M.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON UNION PARK IN FRONT OF LICENSED PREMISES ON PRIVATE PROPERTY FROM MAY THROUGH OCTOBER FOR 12 PATRONS FROM 11:00 A.M. - 10:00 P.M.  INSIDE SEATING: 34 PATRONS  OUTSIDE SEATING:,2013-11-27,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:30 PM,MIDNIGHT,34,"ZAI, LLC",NULL,315,,  Shawmut AV,Roxbury,MA,02118,"(42.34234, -71.070529)",(42.34234, -71.070529),42.34234, -71.070529
LB-99071,"STEPHANIE'S IN SOUTHIE, LLC",STEPHI'S IN SOUTHIE,HOURS OF OPERATION MONDAY- FRIDAY 11:30-2:00 A.M. SATURDAY 10:00 A.M.-2:00 A.M. SUNDAY 10:OO A.M. -1:00 A.M.,IN ONE ROOM  ON FIRST FLOOR  MAIN ENTRANCE/EXIT ON WEST BROADWAY.  KITCHEN AND STORAGE IN REAR.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,153,"STEPHANIE'S IN SOUTHIE, LLC",NULL,11,,W Broadway ,South Boston,MA,02127,"(42.34248, -71.05686)",(42.34248, -71.05686),42.34248, -71.05686
LB-99117,"ALPHA ONE, LLC",CHURCH,(1) 10:30 P.M. last service on patio with an 11:00 P.M. Closing. (2) New addition (Restaurant) service of Alcohol with food only and Midnight closing. (3) Attendant on duty in parking lot on nights with live Entertainment 11:00 P.M. until closing.,Two rooms with open kitchen in licensed space  on entire first floor 69-81 Kilmarnock Street  with basement at 81 Kilmarnock Street for food preparation and storage  basement at 69 Kilmarnock Street for storage and stock  also a seasonal outdoor patio on private setback on Queensberry Street side ne,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,330,"ALPHA ONE, LLC",NULL,69,81,  Kilmarnock ST,Boston,MA,02215,"(42.34258, -71.09953)",(42.34258, -71.09953),42.34258, -71.09953
LB-99634,"TERIYAKI HOUSE, INC.",TERIYAKI HOUSE,(1) NO BAR. (2) ALCOHOL WITH FOOD ONLY.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN AND SUSHI BAR; STORAGE IN THE REAR.,2013-11-19,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,18,"TERIYAKI HOUSE, INC.",NULL,32,,W Broadway ,South Boston,MA,02127,"(42.342726, -71.056371)",(42.342726, -71.056371),42.342726, -71.056371
LB-99027,"Twleve22, LLC.",Cathedral Station,* Alcohol service on outdoor terrace with food only * Closing hours of outdoor terrace Sunday - Wednesday at 10:00 PM  Thursday at 11:00 PM and Friday - Saturday at Midnight. Also  to operate one (1) coin operated pool table to be exercised on the premises.,In two rooms on first floor with a capacity of 200 and additional seasonal seating on outdoor terrace with a capacity of 100.  Kitchen and storage in basement; main egress on Washington Street with additional egress onto terrace and in rear of premises.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,200,"Twelve 22, LLC",NULL,1222,,  Washington ST,Roxbury,MA,02118,"(42.342794, -71.066726)",(42.342794, -71.066726),42.342794, -71.066726
LB-99579,HOUSE OF SIAM INC.,HOUSE OF SIAM ON TREMONT,PATIO HOURS: MONDAY - THURSDAY 11:00 A.M. - 10:00 P.M.; FRIDAY 11:00 A.M. - 11:00 P.M.; SATURDAY NOON - 11:00 P.M.; SUNDAY NOON - 10:00 P.M.,IN ONE ROOM ON THE FIRST FLOORWITH KITCHEN IN THE REAR AND STORAGE IN BASEMENT.  INCLUDES AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 9 PATRONS ON PRIVATE PROPERTY.,2013-11-21,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,30,HOUSE OF SIAM INC.,NULL,,592,  Tremont ST,Roxbury,MA,02118,"(42.342912, -71.072994)",(42.342912, -71.072994),42.342912, -71.072994
LB-99214,MCBOIS LIMITED,FRANKLIN CAFÉ,,Rear entrance to cellar from yard for stock; in one room and kitchen on first floor; cellar for stock.,2013-12-01,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,40,MCBOIS LIMITED,NULL,278,,  Shawmut AV,Roxbury,MA,02118,"(42.342938, -71.06889)",(42.342938, -71.06889),42.342938, -71.06889
LB-99244,"THORNTON COMPANIES, INC.",THORNTON'S FENWAY GRILLE,1. Service of All Alcoholic beverages with food only. 2. Patio to close at 11:00 P.M.,In two rooms and kitchen on the first floor  storage and prep area in the basement; Also seasonal patio.  Capacity breakdown: 23 @ bar stools; 48 @ tables and chairs; 23 standing.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,94,"THORNTON COMPANIES, INC.",NULL,100,,  Peterborough ST,Boston,MA,02215,"(42.342993, -71.099359)",(42.342993, -71.099359),42.342993, -71.099359
LB-99679,"SSJHP, INC.",SWISH SHABU,NONE,THE STORE FRONT IS THE MOST NORTHEAST SECTION OF THE BUILDING ON 84-100 PETERBOROUGH STREET BOSTON  MA 02215.  THE LOCATION IS ROUGHLY 1600 SQUARE FEET.  2 ENTRY/EXITS ON THE FIRST FLOOR IN THE FRONT OF THE BUILDING.  EXIT IN BACK OF THE BUILDING IN THE BASEMENT FOR DELIVERY.  THE MAIN KITCHEN IS IN,2013-11-18,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,58,"SSJHP, INC.",NULL,84,,  Peterborough ST,Boston,MA,02215,"(42.343135, -71.098841)",(42.343135, -71.098841),42.343135, -71.098841
LB-99542,D & G BROTHERS LLC,ICHIBAN YAKITORI SUSHI HOUSE,NONE,One room and kitchen on the first floor and one room in basement for stock.,2013-11-14,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,76,D & G BROTHERS LLC,NULL,,14,  Westland AV,Boston,MA,02115,"(42.343204, -71.086749)",(42.343204, -71.086749),42.343204, -71.086749
LB-99535,"BAMBOO, INC.",BAMBOO,1. MIDNIGHT CLOSING HOUR. 2. NO BAR  5 SEAT COUNTER ALLOWED.3. MALT & WINE WITH MEALS ONLY AT TABLES & COUNTER.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,2013-11-25,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,49,"BAMBOO, INC.",NULL,1616,1616,  Commonwealth AV,Brighton,MA,02135,"(42.343246, -71.142709)",(42.343246, -71.142709),42.343246, -71.142709
LB-99434,"MELA GROUP, INC.",NULL,1) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,IN FOUR ROOMS ON STREET LEVEL WITH KITCHEN; BASEMENT FOR STORAGE.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,49,"MELA GROUP, INC.",NULL,574,578,  Tremont ST,Roxbury,MA,02118,"(42.343257, -71.072509)",(42.343257, -71.072509),42.343257, -71.072509
LB-99486,"OISHII, INC.",OISHII SUSHI BAR,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR,IN THREE ROOMS ON FIRST FLOOR WITH DINING  BAR AND KITCHEN  STORAGE IN THE REAR; IN ONE ROOM IN BASEMENT FOR DINING AND OFFICE AND TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 10:30 P.M.  Capacity breakdown: 1st fl - 60; basement - 3,2013-11-27,2015-12-31,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,1:00 AM,1:30 AM,90,"OISHII, INC.",NULL,1166,,  Washington ST,Roxbury,MA,02118,"(42.34333, -71.06601)",(42.34333, -71.06601),42.34333, -71.06601
LB-99730,"LES AMIS RESTAURANT, INC.",TASCA,Malt  wine andliqueurs to be served only in conjunction with meals.,IN TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN IN THE REAR; CELLAR FOR STOCK.,2013-11-21,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,96,"LES AMIS RESTAURANT, INC.",NULL,1610,,  Commonwealth AV,Brighton,MA,02135,"(42.343355, -71.142631)",(42.343355, -71.142631),42.343355, -71.142631
LB-99055,"MEDIEVAL MANOR, INC.",THE MEDIEVAL MANOR,,Two rooms - first floor - kitchen and stockroom.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,295,"MEDIEVAL MANOR, INC.",NULL,246,260,E Berkeley ST,Roxbury,MA,02118,"(42.343385, -71.063304)",(42.343385, -71.063304),42.343385, -71.063304
LB-99783,552 TREMONT LLC,THE BUTCHER SHOP,NONE,IN ONE ROOM ON THE FIRST FLOOR CAFE AND KITCHEN  ENTRANCE/EXIT TREMONT STREET AND WALTHAM STREET; BASEMENT FOR STORAGE.,2013-11-22,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,30,552 TREMONT LLC,NULL,552,,  Tremont ST,Roxbury,MA,02118,"(42.34376, -71.07146)",(42.34376, -71.07146),42.34376, -71.07146
LB-99842,"MYERS & CHANG, LLC",NULL,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY,IN ONE ROOM WITH DINING ROOM AND KITCHEN IN THE REAR  STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 12 PATRONS BETWEEN THE HOURS OF 10:00 A.M. - 11:00 P.M.,2013-11-27,2015-12-31,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,NULL,12:00 AM,12:30 AM,75,"MYERS & CHANG, LLC",NULL,1143,1149,  Washington ST,Roxbury,MA,02118,"(42.3438, -71.06631)",(42.3438, -71.06631),42.3438, -71.06631
LB-99423,"569 TREMONT, INC.",AQUITAINE,NONE,569 TREMONT ST.: IN ONE ROOM ON FIRST FLOOR WITH AN OPEN KITCHEN  ONE ROOM IN THE BASEMENT WITH A KITCHEN AND STORAGE ROOM..,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,72,"569 TREMONT, INC.",NULL,569,,  Tremont ST,Roxbury,MA,02118,"(42.343801, -71.07235)",(42.343801, -71.07235),42.343801, -71.07235
LB-99782,550 TREMONT LLC,B&G OYSTERS LTD,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT  TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 22 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,2013-11-25,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,38,550 TREMONT LLC,NULL,550,,  Tremont ST,Roxbury,MA,02116,"(42.343895, -71.071263)",(42.343895, -71.071263),42.343895, -71.071263
LB-99000,ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,ANCHOVIES,NONE,Rear entrance to basement from yard; in one room and kitchen on first floor; cellar for stock.,2013-11-13,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,64,ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,NULL,433,,  Columbus AV,Boston,MA,02116,"(42.344027, -71.077869)",(42.344027, -71.077869),42.344027, -71.077869
